"","Min.","X1st.Qu.","Median","X3rd.Qu.","Max.","model"
"intercepts1",0.0509829472081309,0.136636627917053,0.654275762369763,1.88923609742027,3.09675341213624,"Tall"
"intercepts2",0.0646243095708124,0.103570782233669,0.183647530474582,0.637817655993052,2.2803701800107,"Short"
